21 %	118 	552
16 %	326 	1949
17 %	402 	2256
23 %	466 	1965
26 %	150 	560
29 %	277 	943
35 %	619 	1736
45 %	323 	704
49 %	259 	528
43 %	132 	303
47 %	128 	270
39 %	155 	392
50 %	196 	391
52 %	123 	233
45 %	303 	671
49 %	134 	272
48 %	111 	229
52 %	119 	227
51 %	132 	258
22 %	124 	556
29 %	293 	991
30 %	498 	1609
26 %	344 	1307
31 %	309 	994
28 %	592 	2049
41 %	184 	442
48 %	226 	462
46 %	454 	974
47 %	550 	1154
45 %	389 	848
38 %	151 	392
16 %	139 	836
37 %	740 	1949
16 %	210 	1256
40 %	428 	1059
48 %	171 	349
49 %	453 	911
48 %	679 	1401
50 %	390 	778
49 %	286 	578
52 %	63 	119
51 %	111 	217
52 %	159 	305
51 %	74 	144
52 %	133 	255
48 %	143 	297
43 %	254 	588
51 %	112 	218
28 %	114 	395
26 %	98 	376
28 %	87 	301
22 %	90 	394
45 %	117 	259
54 %	51 	93
46 %	55 	119
25 %	67 	261
40 %	166 	412
22 %	91 	396
40 %	166 	412
50 %	162 	322
48 %	146 	298
22 %	80 	352
16 %	172 	1030
14 %	188 	1281
23 %	193 	818
59 %	78 	132
54 %	51 	93
55 %	43 	77
60 %	30 	50
76 %	13 	17
52 %	12 	23
Pacman died! Score: -171
21 %	118 	552
16 %	326 	1949
18 %	282 	1533
21 %	204 	968
15 %	411 	2656
17 %	382 	2208
16 %	229 	1370
28 %	517 	1843
32 %	835 	2571
38 %	496 	1304
32 %	567 	1724
16 %	244 	1486
28 %	112 	400
16 %	143 	882
27 %	87 	321
40 %	59 	144
50 %	86 	170
53 %	42 	78
49 %	56 	114
45 %	66 	144
33 %	74 	220
41 %	102 	245
43 %	230 	530
38 %	140 	360
48 %	281 	583
50 %	659 	1317
47 %	710 	1508
49 %	378 	760
46 %	480 	1028
49 %	713 	1450
45 %	779 	1695
44 %	430 	963
45 %	280 	618
38 %	584 	1524
45 %	1221 	2656
39 %	777 	1965
22 %	84 	367
23 %	125 	531
38 %	194 	506
50 %	188 	373
41 %	152 	369
39 %	241 	603
51 %	195 	376
48 %	261 	535
41 %	440 	1061
35 %	456 	1276
19 %	290 	1517
30 %	413 	1336
41 %	179 	429
19 %	178 	932
29 %	257 	872
29 %	528 	1761
29 %	142 	474
29 %	262 	881
45 %	211 	464
48 %	375 	781
46 %	401 	871
40 %	226 	565
36 %	173 	474
43 %	299 	680
49 %	516 	1044
47 %	694 	1460
47 %	406 	854
47 %	298 	632
40 %	297 	740
23 %	85 	356
44 %	160 	362
37 %	63 	170
55 %	45 	81
54 %	51 	93
59 %	76 	128
51 %	67 	131
53 %	78 	146
50 %	110 	220
50 %	90 	180
49 %	162 	328
47 %	134 	282
46 %	480 	1028
47 %	814 	1730
47 %	814 	1730
50 %	650 	1298
47 %	482 	1010
49 %	496 	1004
48 %	1014 	2102
11 %	236 	2016
12 %	237 	1974
9 %	179 	1821
6 %	77 	1278
11 %	23 	200
Pacman emerges victorious! Score: 961
21 %	118 	552
25 %	469 	1856
44 %	585 	1325
45 %	570 	1250
45 %	1369 	3025
46 %	828 	1792
45 %	371 	809
41 %	272 	659
45 %	487 	1059
35 %	533 	1508
15 %	109 	724
10 %	110 	1028
10 %	142 	1314
10 %	188 	1730
19 %	301 	1520
28 %	276 	963
34 %	104 	299
28 %	297 	1045
37 %	532 	1430
42 %	261 	620
34 %	247 	714
38 %	125 	321
45 %	186 	406
48 %	146 	299
34 %	108 	313
40 %	57 	141
37 %	71 	187
28 %	138 	485
34 %	107 	310
35 %	89 	252
57 %	57 	99
59 %	87 	147
50 %	69 	138
30 %	92 	301
26 %	122 	462
30 %	163 	532
35 %	92 	260
34 %	133 	391
30 %	590 	1956
16 %	704 	4142
28 %	682 	2372
29 %	618 	2088
23 %	469 	2017
30 %	1319 	4313
25 %	844 	3311
35 %	785 	2237
27 %	357 	1278
40 %	322 	801
46 %	405 	863
23 %	133 	570
22 %	149 	649
21 %	134 	636
57 %	57 	99
55 %	45 	81
50 %	48 	96
50 %	70 	138
50 %	94 	188
44 %	69 	156
32 %	87 	266
42 %	232 	550
27 %	165 	596
44 %	330 	744
49 %	201 	407
50 %	447 	889
49 %	160 	326
50 %	116 	230
51 %	88 	170
50 %	70 	138
49 %	128 	260
51 %	74 	144
50 %	114 	226
50 %	90 	180
50 %	130 	256
49 %	74 	150
47 %	194 	408
46 %	481 	1034
47 %	410 	868
47 %	542 	1130
47 %	450 	938
47 %	248 	524
47 %	344 	722
48 %	442 	920
50 %	62 	122
48 %	78 	160
53 %	36 	67
58 %	18 	31
58 %	18 	31
61 %	21 	34
46 %	27 	58
48 %	45 	93
47 %	116 	242
57 %	220 	384
53 %	375 	698
59 %	229 	387
60 %	99 	165
60 %	72 	120
60 %	99 	165
60 %	111 	183
60 %	122 	203
58 %	122 	210
56 %	332 	592
53 %	406 	763
46 %	598 	1292
40 %	226 	555
45 %	115 	255
43 %	249 	568
44 %	212 	476
42 %	212 	497
45 %	115 	255
43 %	249 	568
42 %	268 	630
50 %	408 	816
47 %	494 	1046
49 %	406 	814
47 %	678 	1442
49 %	216 	440
48 %	190 	394
44 %	57 	127
51 %	82 	159
58 %	18 	31
58 %	18 	31
61 %	21 	34
58 %	27 	46
57 %	44 	77
53 %	76 	143
48 %	365 	755
55 %	659 	1193
61 %	193 	316
47 %	179 	373
52 %	639 	1225
56 %	195 	348
55 %	328 	592
50 %	402 	798
53 %	88 	163
51 %	149 	289
55 %	243 	439
57 %	310 	540
51 %	179 	350
55 %	722 	1292
55 %	665 	1207
53 %	166 	309
43 %	319 	728
28 %	133 	475
17 %	237 	1377
47 %	470 	1000
36 %	623 	1689
29 %	210 	722
30 %	133 	440
54 %	127 	233
54 %	297 	541
57 %	310 	540
57 %	189 	327
58 %	234 	399
59 %	87 	147
57 %	125 	219
57 %	158 	275
55 %	93 	169
56 %	196 	347
54 %	141 	261
