N:\SkyDrive\src\SBU\AI\project2\multiagent>python pacman.py -p AlphaBetaAgent -a
 depth=3,evalFn=smartScorer,profile=True -l smallClassic -n 10 --frameTime 0.01
>> alpha_beta_smart_report.txt


+==================+
| % | AB | Minimax |
+==================+

14 %	80 	552
16 %	326 	1949
17 %	402 	2256
23 %	446 	1861
20 %	271 	1305
24 %	665 	2683
23 %	719 	3010
19 %	302 	1560
23 %	670 	2847
22 %	221 	975
23 %	253 	1057
7 %	148 	2072
48 %	90 	187
29 %	268 	917
29 %	199 	685
21 %	558 	2605
24 %	368 	1500
11 %	208 	1755
28 %	85 	297
26 %	108 	411
42 %	76 	180
42 %	210 	490
47 %	224 	476
41 %	290 	692
29 %	98 	336
39 %	434 	1098
46 %	354 	766
42 %	544 	1285
50 %	132 	264
46 %	124 	269
49 %	185 	376
46 %	169 	361
22 %	134 	606
21 %	162 	757
42 %	193 	453
25 %	30 	116
68 %	26 	38
54 %	73 	134
54 %	86 	159
37 %	210 	567
44 %	155 	349
44 %	464 	1044
44 %	825 	1856
46 %	636 	1370
48 %	551 	1134
51 %	136 	266
48 %	146 	301
24 %	113 	458
19 %	93 	473
45 %	84 	186
40 %	70 	175
42 %	126 	299
46 %	264 	570
40 %	236 	578
48 %	338 	698
51 %	95 	185
44 %	161 	363
40 %	159 	392
36 %	149 	404
45 %	330 	733
43 %	188 	436
28 %	244 	847
17 %	92 	530
55 %	30 	54
52 %	88 	167
41 %	144 	351
38 %	273 	715
46 %	196 	424
51 %	123 	240
48 %	47 	96
49 %	77 	156
48 %	120 	248
45 %	63 	138
35 %	60 	167
32 %	34 	104
31 %	20 	64
34 %	57 	163
31 %	100 	318
49 %	110 	223
38 %	59 	153
41 %	48 	117
56 %	87 	155
52 %	83 	159
58 %	50 	86
43 %	84 	193
30 %	55 	180
Pacman emerges victorious! Score: 1564
14 %	80 	552
16 %	326 	1949
17 %	402 	2256
21 %	586 	2705
20 %	312 	1489
24 %	400 	1617
22 %	929 	4117
19 %	655 	3345
25 %	425 	1695
6 %	151 	2437
52 %	51 	97
42 %	198 	462
45 %	92 	202
21 %	109 	517
22 %	73 	319
21 %	135 	618
32 %	86 	264
25 %	107 	428
53 %	42 	78
45 %	44 	96
40 %	56 	138
40 %	126 	310
44 %	154 	343
42 %	389 	917
45 %	139 	305
44 %	212 	476
40 %	236 	578
33 %	258 	765
27 %	108 	394
31 %	495 	1577
16 %	148 	908
15 %	267 	1737
40 %	313 	772
42 %	405 	958
35 %	290 	828
33 %	682 	2008
43 %	486 	1121
44 %	542 	1228
31 %	493 	1564
47 %	115 	241
38 %	169 	442
44 %	784 	1744
33 %	198 	590
36 %	295 	818
15 %	108 	716
52 %	51 	97
36 %	143 	392
40 %	131 	327
30 %	165 	537
38 %	335 	863
42 %	267 	629
43 %	138 	316
25 %	177 	681
30 %	168 	558
37 %	233 	617
51 %	158 	308
47 %	57 	119
40 %	72 	180
25 %	74 	292
34 %	50 	144
33 %	64 	190
34 %	50 	144
36 %	72 	198
43 %	101 	233
40 %	389 	964
36 %	645 	1767
36 %	605 	1653
38 %	258 	670
15 %	137 	870
13 %	145 	1058
11 %	203 	1801
16 %	119 	724
21 %	127 	604
16 %	103 	616
16 %	70 	428
22 %	80 	358
16 %	64 	400
15 %	48 	306
Pacman emerges victorious! Score: 1572
14 %	80 	552
16 %	326 	1949
18 %	334 	1832
21 %	334 	1549
20 %	341 	1677
26 %	272 	1009
25 %	431 	1724
21 %	481 	2273
31 %	356 	1116
23 %	95 	402
55 %	30 	54
52 %	89 	168
45 %	88 	194
34 %	101 	290
54 %	51 	93
51 %	84 	163
41 %	92 	220
39 %	236 	597
45 %	277 	606
46 %	490 	1044
44 %	825 	1856
45 %	748 	1658
48 %	554 	1134
43 %	178 	409
45 %	146 	320
45 %	341 	743
46 %	298 	638
19 %	131 	668
13 %	61 	452
48 %	90 	187
36 %	244 	664
57 %	105 	183
36 %	131 	360
28 %	176 	616
27 %	368 	1339
28 %	168 	581
35 %	245 	695
28 %	501 	1786
27 %	758 	2712
26 %	1000 	3717
25 %	707 	2786
41 %	674 	1622
47 %	674 	1419
44 %	642 	1442
45 %	622 	1382
42 %	378 	886
37 %	432 	1154
18 %	80 	428
18 %	163 	871
17 %	190 	1115
19 %	157 	824
31 %	105 	335
52 %	225 	428
34 %	123 	355
43 %	35 	81
54 %	35 	64
52 %	76 	144
51 %	105 	204
44 %	121 	269
26 %	102 	385
31 %	93 	298
17 %	99 	555
13 %	182 	1394
10 %	287 	2786
15 %	122 	780
30 %	91 	302
34 %	79 	232
32 %	193 	601
42 %	132 	309
36 %	109 	297
35 %	110 	314
24 %	127 	526
20 %	87 	433
25 %	171 	668
35 %	257 	715
41 %	341 	830
40 %	334 	830
34 %	302 	872
29 %	19 	64
Pacman emerges victorious! Score: 1771
14 %	80 	552
16 %	326 	1949
18 %	334 	1832
21 %	334 	1549
19 %	381 	1999
22 %	456 	1986
23 %	887 	3855
20 %	418 	2036
27 %	528 	1952
35 %	118 	333
26 %	228 	862
8 %	133 	1528
53 %	54 	101
43 %	186 	432
48 %	95 	194
41 %	174 	416
35 %	120 	340
20 %	366 	1829
17 %	134 	752
19 %	171 	887
40 %	319 	788
35 %	369 	1026
22 %	165 	722
29 %	265 	896
35 %	218 	620
30 %	270 	887
32 %	233 	715
18 %	128 	694
13 %	186 	1426
10 %	218 	2165
18 %	114 	620
26 %	149 	554
42 %	137 	326
48 %	148 	308
49 %	114 	230
41 %	161 	392
26 %	167 	632
37 %	386 	1022
43 %	230 	532
38 %	162 	421
47 %	190 	404
32 %	341 	1055
46 %	53 	113
41 %	161 	386
49 %	130 	264
48 %	207 	428
55 %	45 	81
54 %	51 	93
59 %	78 	132
40 %	65 	159
31 %	130 	419
34 %	299 	863
34 %	278 	801
33 %	226 	669
7 %	119 	1559
51 %	96 	187
39 %	421 	1053
45 %	170 	374
33 %	281 	833
43 %	139 	319
41 %	210 	504
45 %	63 	138
36 %	62 	170
53 %	42 	78
30 %	46 	150
24 %	64 	264
24 %	122 	504
25 %	88 	343
23 %	216 	932
40 %	122 	305
39 %	188 	476
31 %	183 	578
14 %	170 	1149
25 %	88 	343
33 %	191 	573
34 %	202 	578
42 %	255 	598
55 %	103 	185
58 %	167 	287
56 %	55 	98
37 %	60 	160
Pacman emerges victorious! Score: 1369
14 %	80 	552
16 %	326 	1949
17 %	402 	2256
21 %	586 	2705
22 %	280 	1255
25 %	519 	2018
22 %	929 	4142
19 %	763 	3853
28 %	678 	2361
8 %	112 	1314
53 %	54 	101
40 %	215 	531
39 %	148 	374
15 %	161 	1025
22 %	73 	319
24 %	123 	504
32 %	86 	264
22 %	110 	482
24 %	64 	264
23 %	124 	518
32 %	86 	264
45 %	205 	447
49 %	88 	178
32 %	211 	652
36 %	217 	590
44 %	422 	950
37 %	214 	578
23 %	235 	1011
43 %	127 	291
37 %	460 	1214
35 %	295 	842
31 %	477 	1502
44 %	341 	764
45 %	242 	535
31 %	311 	984
29 %	671 	2239
30 %	560 	1839
40 %	623 	1551
14 %	93 	646
51 %	96 	187
46 %	365 	789
45 %	92 	202
34 %	135 	389
38 %	67 	173
48 %	96 	198
53 %	42 	78
53 %	42 	78
53 %	42 	78
38 %	44 	114
34 %	50 	144
35 %	70 	198
36 %	68 	185
33 %	138 	409
60 %	102 	168
47 %	86 	180
47 %	148 	310
44 %	195 	435
47 %	98 	208
21 %	109 	517
22 %	73 	319
21 %	135 	618
32 %	86 	264
43 %	220 	504
47 %	79 	166
41 %	135 	322
34 %	67 	194
34 %	101 	290
34 %	58 	166
40 %	64 	158
53 %	42 	78
44 %	42 	95
32 %	43 	132
25 %	43 	169
13 %	48 	350
Pacman emerges victorious! Score: 1576
14 %	80 	552
16 %	326 	1949
18 %	282 	1533
21 %	204 	968
17 %	491 	2749
23 %	699 	2962
25 %	683 	2707
30 %	138 	452
28 %	137 	477
24 %	234 	942
31 %	342 	1091
19 %	97 	490
53 %	54 	101
59 %	159 	267
55 %	60 	108
59 %	78 	132
54 %	51 	93
55 %	45 	81
53 %	42 	78
53 %	42 	78
53 %	42 	78
53 %	42 	78
53 %	42 	78
51 %	51 	100
55 %	98 	178
48 %	236 	488
40 %	135 	333
50 %	169 	333
48 %	95 	194
41 %	161 	386
53 %	108 	202
53 %	175 	325
56 %	63 	111
59 %	87 	147
57 %	57 	99
48 %	72 	150
41 %	145 	352
38 %	235 	603
51 %	179 	348
47 %	131 	275
34 %	259 	757
35 %	255 	718
36 %	191 	529
36 %	330 	915
29 %	214 	736
39 %	184 	461
26 %	517 	1949
39 %	593 	1508
45 %	282 	616
42 %	576 	1352
35 %	533 	1508
14 %	126 	886
19 %	234 	1210
13 %	225 	1642
22 %	192 	852
13 %	106 	788
16 %	99 	617
53 %	54 	101
36 %	158 	432
42 %	135 	321
25 %	145 	570
27 %	164 	590
43 %	362 	830
47 %	148 	310
42 %	201 	471
47 %	94 	200
31 %	102 	322
34 %	58 	166
36 %	72 	196
50 %	70 	138
49 %	94 	190
45 %	64 	141
41 %	68 	163
Pacman emerges victorious! Score: 1377
14 %	80 	552
16 %	326 	1949
17 %	402 	2256
23 %	466 	1965
21 %	260 	1218
41 %	60 	144
38 %	181 	465
21 %	379 	1771
32 %	202 	621
16 %	112 	661
55 %	30 	54
47 %	95 	201
45 %	92 	202
38 %	101 	261
54 %	51 	93
41 %	49 	119
40 %	58 	144
33 %	64 	190
34 %	50 	144
30 %	70 	226
40 %	58 	144
